Z,Year,min_temp,max_temp,avg_temp,readings_count,active_tcs_count,total_tcs_installed,mode (approx)
3946,2016,34,43,40.42857,7,7,7,40
3946,2019,26,493,94.28133,420,5,7,45
3946,2020,6.305112,1175.1138,202.09021,1323,7,7,516
3946,2021,17.097166,1199.5791,250.69698,2534,7,7,47
3946,2022,15.031562,1173,170.86227,2555,7,7,49
3946,2023,0.19352014,1075.4261,149.45758,2555,7,7,56
3946,2024,15.23572,1197.0974,270.91016,2562,7,7,56
3946,2025,0.73235565,1185.7532,248.0185,1190,7,7,458
4727,2016,33,75,62.97959,49,49,49,49
4727,2019,8,1182,92.45978,4200,49,49,71
4727,2020,5.0708923,1188.1361,105.07267,9261,49,49,82
4727,2021,0.21864952,1197.0251,123.72159,17738,49,49,80
4727,2022,3.4563978,1199.6913,121.64846,17885,49,49,84
4727,2023,0.37140575,1199.1329,147.11095,17885,49,49,90
4727,2024,1.154465,1199.5912,172.21385,17934,49,49,71
4727,2025,0.48431215,1199.6368,112.17134,8330,49,49,32
5177,2019,21,1036,130.09364,4116,49,49,147
5177,2020,24.896147,1191.4598,167.52065,9261,49,49,179
5177,2021,4.751807,1199.88,176.31343,17738,49,49,165
5177,2022,4,1199.1552,221.47707,17885,49,49,200
5177,2023,1.676399,1199.4291,279.77426,17885,49,49,839
5177,2024,3.4748898,1197.9192,297.7579,17934,49,49,197
5177,2025,15.644875,1199.4381,196.96724,8330,49,49,33
5677,2016,77,115,96.458336,24,24,24,87
5677,2019,16,137,73.031746,2016,24,24,72
5677,2020,64.05514,153.17241,111.973755,4536,24,24,110
5677,2021,49.930676,169.93538,92.36529,8688,24,24,74
5677,2022,14.884927,175.68544,101.04302,8760,24,24,84
5677,2023,7.6045294,1161.9823,127.5029,8760,24,24,105
5677,2024,5.1380415,1194.6696,167.52019,8784,24,24,476
5677,2025,10.920482,960.7117,106.60131,4080,24,24,34
5777,2019,18,1173,268.60867,2016,24,24,23
5777,2020,16.63796,1185.261,373.5147,4536,24,24,448
5777,2021,17.314608,1177.6907,384.7758,8688,24,24,448
5777,2022,13.550701,1077.1255,407.1138,8760,24,24,419
5777,2023,0.83786154,1199.8708,389.495,8760,24,24,394
5777,2024,0.32624695,1196.8157,408.52295,8784,24,24,426
5777,2025,14.093624,1189.6718,266.737,4080,24,24,32
6177,2016,43,473,320.9938,49,49,49,362
6177,2019,32,1172,257.3549,4116,49,49,892
6177,2020,34.888515,1183.8057,349.2369,9261,49,49,892
6177,2021,2.0919342,1185.1631,259.27045,17738,49,49,892
6177,2022,3.316653,1196.32,269.0574,17885,49,49,892
6177,2023,2.9566994,1196.7987,283.76224,17885,49,49,48
6177,2024,0.332534,1198.8583,313.5243,17934,49,49,239
6177,2025,6,1195.304,261.87604,8330,49,49,33
6637,2016,45,668,299.70566,36,36,36,169
6637,2019,14,975,143.37955,3024,36,36,201
6637,2020,12.750405,529.7754,224.76952,6804,36,36,59
6637,2021,13.233668,510.27148,157.66818,13032,36,36,59
6637,2022,1.9858657,1181,178.0319,13140,36,36,59
6637,2023,0.19595782,1195.2825,191.67915,13140,36,36,100
6637,2024,0.21326165,1190.3074,223.08679,13176,36,36,100
6637,2025,0.35163933,1189,174.5041,6120,36,36,32
6737,2019,15,314,117.562004,2016,24,24,92
6737,2020,41.41576,312.88,172.98106,4536,24,24,171
6737,2021,14,1164.077,145.93661,8688,24,24,113
6737,2022,10.023708,1198.1785,174.02461,8760,24,24,472
