TC_ID,Layer,Current Temp (Latest),Slope (deg/day),Baseline Temp 2014,Target Temp (115 Up),Intersection Date
8,4727,82.94,0.063002,-114.19,0.81,1/1/2019
9,4727,95.42,-0.176149,864.62,979.62,No Intersection (Stagnant/Cooling)
10,4727,95.15,0.181545,-450.78,-335.78,9/27/2015
11,4727,19.61,0.023407,-43.9,71.1,6/15/2027
12,4727,58.56,0.158266,-377.33,-262.33,12/29/2015
13,4727,207.5,0.164409,-385.36,-270.36,12/2/2015
14,4727,88.14,-0.146651,913.75,1028.75,No Intersection (Stagnant/Cooling)
15,4727,87.58,-0.323572,1333.56,1448.56,No Intersection (Stagnant/Cooling)
16,4727,63.1,-0.135851,612.99,727.99,No Intersection (Stagnant/Cooling)
17,4727,28.24,0.001001,83.03,198.03,Far Future (> 100 years)
18,4727,28.1,-0.000728,82.85,197.85,No Intersection (Stagnant/Cooling)
19,4727,28.58,0.006497,59.12,174.12,6/17/2062
20,4727,28.18,0.003869,44.79,159.79,5/21/2095
21,4727,28.95,-0.001727,95.34,210.34,No Intersection (Stagnant/Cooling)
22,4727,28.98,0.000786,83.31,198.31,Far Future (> 100 years)
23,4727,29.61,0.003536,69.13,184.13,1/13/2103
24,4727,28.48,0.002973,47.03,162.03,11/25/2119
25,4727,28.89,-0.001672,92.07,207.07,No Intersection (Stagnant/Cooling)
26,4727,31.67,-0.024858,161,276,No Intersection (Stagnant/Cooling)
27,4727,31.89,0.003583,66.5,181.5,11/17/2101
28,4727,11.23,0.005683,37.85,152.85,5/28/2069
29,4727,396,0.081416,-167.57,-52.57,11/14/2017
30,4727,95.28,0.182223,-462.97,-347.97,9/25/2015
31,4727,66.58,0.013325,14.43,129.43,8/18/2037
32,4727,66.48,0.050981,-111.86,3.14,3/6/2020
33,4727,89.88,0.011475,49.67,164.67,6/9/2041
34,4727,89.55,0.013964,41.09,156.09,7/19/2036
35,4727,91.09,0.013694,36.95,151.95,12/28/2036
36,4727,67.79,0.009347,29.85,144.85,9/8/2047
37,4727,88.41,0.018203,24.55,139.55,4/19/2031
38,4727,98.57,0.015868,42.15,157.15,11/4/2033
39,4727,82.27,0.012875,31.41,146.41,6/16/2038
40,4727,273,0.075632,-180.84,-65.84,3/2/2018
41,4727,267.4,0.023107,81.39,196.39,8/17/2027
42,4727,93.7,0.013659,43.73,158.73,1/19/2037
43,4727,33,0.011857,34.73,149.73,7/21/2040
44,4727,65,0.024904,-16.71,98.29,8/23/2026
45,4727,102.63,0.024265,18.66,133.66,12/23/2026
46,4727,103.36,0.025762,16.13,131.13,3/22/2026
47,4727,410,0.041362,-84.67,30.33,8/12/2021
48,4727,30.79,0.007489,31.72,146.72,1/17/2056
49,4727,95,0.11231,-73.37,41.63,10/21/2016
50,4727,185,0.082737,141.22,256.22,10/22/2017
51,4727,61.18,0.124132,-104.28,10.72,7/16/2016
52,4727,26,-2.696533,7240.27,7355.27,No Intersection (Stagnant/Cooling)
53,4727,824.68,-0.027784,147.83,262.83,No Intersection (Stagnant/Cooling)
54,4727,103,0.206579,-521.14,-406.14,7/12/2015
55,4727,25.5,-0.285372,1076.55,1191.55,No Intersection (Stagnant/Cooling)
