FURNACE TC postion,no.,TC,X,Y,Z
BP,1,001,0.00,0.00,3946
BP,2,002,2703.20,1892.80,3946
BP,3,003,0.00,3300.00,3946
BP,4,004,-2703.20,1892.80,3946
BP,5,005,-2703.20,-1892.80,3946
BP,6,006,0.00,-3300.00,3946
BP,7,007,2703.20,-1892.80,3946
HB0,8,008,0.00,0.00,4727
HB0,9,009,1650.00,0.00,4727
HB0,10,010,3300.00,0.00,4727
HB0,11,011,4950.00,0.00,4727
HB0,12,012,6600.00,0.00,4727
HB0,13,013,1351.60,946.40,4727
HB0,14,014,2703.20,1892.80,4727
HB0,15,015,4054.80,2839.20,4727
HB0,16,016,5406.40,3785.60,4727
HB0,17,017,743.95,1472.77,4727
HB0,18,018,1487.90,2945.53,4727
HB0,19,019,2231.84,4418.30,4727
HB0,20,020,2975.79,5891.07,4727
HB0,21,021,0.00,1650.00,4727
HB0,22,022,0.00,3300.00,4727
HB0,23,023,0.00,4950.00,4727
HB0,24,024,0.00,6600.00,4727
HB0,25,025,-743.95,1472.77,4727
HB0,26,026,-1487.90,2945.53,4727
HB0,27,027,-2231.84,4418.30,4727
HB0,28,028,-2975.79,5891.07,4727
HB0,29,029,-1351.60,946.40,4727
HB0,30,030,-2703.20,1892.80,4727
HB0,31,031,-4054.80,2839.20,4727
HB0,32,032,-5406.40,3785.60,4727
HB0,33,033,-1650.00,0.00,4727
HB0,34,034,-3300.00,0.00,4727
HB0,35,035,-4950.00,0.00,4727
HB0,36,036,-6600.00,0.00,4727
HB0,37,037,-1351.60,-946.40,4727
HB0,38,038,-2703.20,-1892.80,4727
HB0,39,039,-4054.80,-2839.20,4727
HB0,40,040,-5406.40,-3785.60,4727
HB0,41,041,-743.95,-1472.77,4727
HB0,42,042,-1487.90,-2945.53,4727
HB0,43,043,-2231.84,-4418.30,4727
HB0,44,044,-2975.79,-5891.07,4727
HB0,45,045,0.00,-1650.00,4727
HB0,46,046,0.00,-3300.00,4727
HB0,47,047,0.00,-4950.00,4727
HB0,48,048,0.00,-6600.00,4727
HB0,49,049,743.95,-1472.77,4727
HB0,50,050,1487.90,-2945.53,4727
HB0,51,051,2231.84,-4418.30,4727
HB0,52,052,2975.79,-5891.07,4727
HB0,53,053,1351.60,-946.40,4727
HB0,54,054,2703.20,-1892.80,4727
HB0,55,055,4054.80,-2839.20,4727
HB0,56,056,5406.40,-3785.60,4727
HB1,57,057,0.00,0.00,5177
HB1,58,058,1650.00,0.00,5177
HB1,59,059,3300.00,0.00,5177
HB1,60,060,4950.00,0.00,5177
HB1,61,061,6600.00,0.00,5177
HB1,62,062,1351.60,946.40,5177
HB1,63,063,2703.20,1892.80,5177
HB1,64,064,4054.80,2839.20,5177
HB1,65,065,5406.40,3785.60,5177
HB1,66,066,743.95,1472.77,5177
HB1,67,067,1487.90,2945.53,5177
HB1,68,068,2231.84,4418.30,5177
HB1,69,069,2975.79,5891.07,5177
HB1,70,070,0.00,1650.00,5177
HB1,71,071,0.00,3300.00,5177
HB1,72,072,0.00,4950.00,5177
HB1,73,073,0.00,6600.00,5177
HB1,74,074,-743.95,1472.77,5177
HB1,75,075,-1487.90,2945.53,5177
HB1,76,076,-2231.84,4418.30,5177
HB1,77,077,-2975.79,5891.07,5177
HB1,78,078,-1351.60,946.40,5177
HB1,79,079,-2703.20,1892.80,5177
HB1,80,080,-4054.80,2839.20,5177
HB1,81,081,-5406.40,3785.60,5177
HB1,82,082,-1650.00,0.00,5177
HB1,83,083,-3300.00,0.00,5177
HB1,84,084,-4950.00,0.00,5177
HB1,85,085,-6600.00,0.00,5177
HB1,86,086,-1351.60,-946.40,5177
HB1,87,087,-2703.20,-1892.80,5177
HB1,88,088,-4054.80,-2839.20,5177
HB1,89,089,-5406.40,-3785.60,5177
HB1,90,090,-743.95,-1472.77,5177
HB1,91,091,-1487.90,-2945.53,5177
HB1,92,092,-2231.84,-4418.30,5177
HB1,93,093,-2975.79,-5891.07,5177
HB1,94,094,0.00,-1650.00,5177
HB1,95,095,0.00,-3300.00,5177
HB1,96,096,0.00,-4950.00,5177
HB1,97,097,0.00,-6600.00,5177
HB1,98,098,743.95,-1472.77,5177
HB1,99,099,1487.90,-2945.53,5177
HB1,100,100,2231.84,-4418.30,5177
